Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-01-23,The Stepford Wives,2004,https://boxd.it/8zXVpJ,3.5,,"<i>“Does any fraction of these women still exist?” “Of course! Almost <b>everything</b>.”</i>

The key to this movie comes from Bobbie at the 4th of July picnic when she questions why there are no Black people around. I was surprised to read that others thought that Joanna acquiesced because she trusted Walter. Joanna did not become a robot to please Walter, Joanna became a robot because she realized that Stepford was a very literal microcosm of the real world and how nice would it be to just give the fuck up and not have to figure out who you are. Misogyny is so well embedded in our culture that Joanna could never be confident that the Wives weren’t happy; they had achieved peak, perfect femininity, doesn’t that count for <i>something</i>? Walter’s hesitation to fembot Joanna endorses this reading: he knows that he will never be happy without Joanna as Joanna, but heteronormativity and gender conformation calls to him like the Green Goblin mask. Even love isn’t enough to overcome patriarchy and white supremacy. Joanna and Walter’s gleeful conformity to the robotic Stepford life shows us that they understand that their genders, marriage, and parenthood must be performed. Claire’s final reveal and the knocking-off of Mike’s head shows us that those core beliefs behind Stepford do not come from individuals but from societal stories.

Unfortunately, the metaphor gets muddied by the ending scene of the Wives waking up and the overtly campy tone. We also didn’t see Joanna suffering as the head of the company, so Claire’s ending speech comes across as insanity instead of frustration that the world is so nebulous that being brainless seems easier.

Beautiful performances from Nicole Kidman, Bette Midler, and Glenn Close. Feels unnervingly contemporary. I totally understand Olivia Wilde’s excitement to make a version for the 2020s.

The one liners were great and I had a fabulous time!!","beautiful, nostalgic <3, gay halloween, halloween vibes, 2000s, camp, '95 - '05",2025-01-22
2025-01-24,Challengers,2024,https://boxd.it/8Azaeb,4.5,Yes,"<i>“It’s nice to see you lit up about something, even if it’s my girlfriend.”</i>

Luca Guadagnino uses <i>Challengers </i>to ask us if we’ve ever matched someone’s freak in the kind of way that Art, Patrick, and Tashi do. Luca knows his characters perfectly and shows us that it is thrilling to set our judgement aside and watch some good fucking tennis.

I understand why people might think “Patrick loved Art, Art loved Tashi, and Tashi loved tennis,” but I disagree. Patrick and Tashi had an unflappable confidence in themselves that Art knew he could never had. Patrick and Art were vulnerable with themselves and Tashi even though she never showed any interest in reciprocating that vulnerability. Art and Tashi had self awareness that Patrick knew would be too much. I was so amazed by their ability to love and fear each other’s strengths and weaknesses without having to understand them.

There are many moments in which we wonder how Art/Patrick/Tashi could possibly have misunderstood one of the others so profoundly only to be shown in the next moment that we were the ones out of the loop the whole time. Patrick asking Tashi to be his coach seemed like a misread to me until I realized that Patrick knew that Tashi would never consider it and yet asked anyway. Art knew Tashi was not in love with him the way he was in love with her, but he offered that love with no conditions and held that relationship together. Tashi knew Art and Patrick’s relationship was one she could never have with either of them, on or off the court, and stayed near that relationship regardless. In the end, they worked it out on the tennis court.

You’ll hate this movie if you need a coherent, linear narrative and like knowing what to think of characters.

I’m so scared of people who don’t think Zendaya is a good actress. Mike Faist and Josh O’Connor are fabulous, of course. Luca Guadagnino directed tf out of this and Sayombhu Mukdeeprom‘s cinematography is so life changing that you would be forgiven for ignoring how good of a screenplay this is. Trent Reznor and Atticus Ross scored tf out of this. Rewatch inspired by the 0 Oscar noms this movie got

Minus a half star for how weird the use of slo mo was.","good styling, good soundtrack, good cinematography, good score, good dialogue, good editing, so much fun, they matched each other's freak, 2020s",2025-01-23
2025-01-24,Daisies,1966,https://boxd.it/8ALi2L,4,,"These ladies would love <i>brat</i>

I don’t know how to rate this. I don’t have the knowledge nor skills. I had a blast, and at no point did I try and understand what was happening. It loses a star because I had some trouble staying focused since the narrative was 0, but since the whole movie is about defying convention I think that’s actually one of its strengths. So I’ll be honest and say it loses a star because I’m lame and can’t focus.

It’s so nice to see two women violently play within and throughout societal norms and very little harm to real people in such a literal way. They fuck up some food and send a couple guys to Germany, but you can’t sue someone for wearing eyeliner and flower crowns.","topstats, smoke a j first, so much fun, feeling seen, gay halloween, idk how to rate this, they matched each other's freak, 60s, criterion collection, janus films, female director, !american, !in english, female writer, surrealism",2025-01-23
2025-01-25,Hot Fuzz,2007,https://boxd.it/8BCfYD,5,Yes,"Got to show my pal this movie for the first time tonight, which rocks. 

This was the first time I understood the structure of the film. When watching the scene just after the carnival where Danny pulls the stuffed monkey up into the shot only a scene after he was pictured carrying it was when it clicked: if you forgot about the monkey just because you couldn’t see it, you weren’t going to figure the movie out. The cool thing is that I’m sure this happened multiple times before the monkey scene, and it took me that long to catch on to those instructions.

Edgar Wright knows you can’t catch everything in the movie, but you don’t have to. It’s like that scene in <i>The Good Place</i> where the gang is trying to escape the Bad Place and met Michael at the train station and bragged that they found all 3 of his clues, only to be told he actually left them over a thousand clues. Every rewatch reveals more obvious answers to who was committing the murders, and those little moments serve to enrich the world instead of just merely advance the story. I love living in the weird, idiosyncratic worlds Wright dreams up, and Simon Pegg and Nick Frost deserve Nobel prizes or whatever.

On my <a href=“https://letterboxd.com/katswnt/list/could-be-in-my-top-4/”>”Could be in my top 4” list</a>","w/ emily r, so much fun, good editing, good dialogue, 2000s, bechdel fail, !american, '05 - '15, cops",2025-01-24
2025-01-26,Smiley Face,2007,https://boxd.it/8CmPGx,3,,"<i>“Were you dating him?” “Ew! He was a fucking Marxist!! Why would you say something like that?”</i>

- Anna Farris gives an incredible performance in this.
- Its influence on <i>brat</i> was apparent. I also see it in <i>Broad City</i> and <i>Tuca and Bertie</i>
- I once dated a guy like Brevins lowkey
- I laughed so much at parts of this that my dogs got concerned. I was also so stressed for so much of this.
- didn’t like the ending :/ felt tepid

On my <a href=“https://letterboxd.com/katswnt/list/could-be-in-my-top-4/”>”Could be in my top 4” list</a>","incredible performance, good editing, good score, smoke a j first, good dialogue, feeling seen, gay halloween, 2000s, '05 - '15, one day",2025-01-25
2025-01-27,Zola,2020,https://boxd.it/8DqtIN,4,,"<i>“This isn’t you!”</i>

Riley Keough and Taylour Page are so fucking awesome in this because to outshine Coleman Domingo and Nicholas Braun’s performances In the supporting roles takes a lot!

I screamed when TS Madison came on screen

I love Hari Nef’s review of this

On my <a href=“https://letterboxd.com/katswnt/list/could-be-in-my-top-4/”>”Could be in my top 4” list</a>","good dialogue, good soundtrack, good score, a24, good cinematography, good acting, topstats, top2025, 2020s, female director, cunt classic",2025-01-26
2025-01-28,The Stepford Wives,1975,https://boxd.it/8DT0SR,3.5,,"This is a hard one for me to review bc I feel like I don’t have enough info to do it justice!!

Much scarier and creepier than the 2004 remake. The tension they build between Walter and Joanna had my blood boiling by the time they had their big argument was really fun and frustrating. Bobbie and the psychoanalyst understanding and believing Joanna was relieving; I’m so happy this didn’t turn into <i>Gaslight</i>. Joanna stabbing Bobbie was beautiful.

I like that the 1975 version didn’t have to be campy and saccharine like the remake did; I liked that all seemed normal and none of the men or Wives could understand what was so wrong about keeping a tidy home. The lack of technological advancement (and explanation in the movie) meant that we weren’t bogged down by details that distracted from the story. 

Katharine Ross is my hair goals.","good styling, idk how to rate this, 70s",2025-01-27
2025-01-28,Eraserhead,1977,https://boxd.it/8E98td,4,,"I don’t quite know how to review this but I’m putting it at 8/10 because of my ignorance. I do not stand by that rating

I see a lot of <i>Frankenstein</i> in this, but Eraserhead clearly applies some of the strength of the relationship between Dr and Monster to father and son.","idk how to rate this, 70s, national film registry, w/ dad, w/ mom, good editing, incredible performance, criterion collection, janus films, surrealism, b&w, directorial debut, bechdel fail",2025-01-27
2025-01-29,I'm Still Here,2024,https://boxd.it/8EHu3f,5,,"I really love <a href=""https://boxd.it/8nY2jl"" rel=""nofollow"">Zoe’s review</a> and am struggling to find the words to describe the experience I had beyond what Zoe so expertly wrote. Those words will come. 

Books will be written devoted to Fernanda Torres. What a captivating performance. It knocked the wind out of me at times, and I was grateful to be sitting in the theater next to my mother (whose hand I gripped for the whole movie). What a fiercely brave performance. As Zoe wrote, this movie could have been overwrought and melodramatic, but instead shows that tragedy can be all-encompassing while also such a small part of life.

Idk. I don’t have the words yet for what this movie did to me. I love my mom and I love my dad and I love my siblings. I love brasil and I love Brasilians. I love swimming in the ocean next to pao de acucar. I love watching Fernanda Torres!!!","i love my mom, w/ mom, good dialogue, good soundtrack, good editing, good cinematography, good acting, incredible performance, brasil, top2025, 2020s, !american, !in english, theater, best foreign language film winner",2025-01-28
2025-01-29,Scream,1996,https://boxd.it/8EQSKF,4.5,,"<i>“Stupidity leak!”</i>

I went into it knowing the killers & the main deaths, so I expected to not find much surprising nor scary. Ooooh was I wrong! I LOOOOVED IT!! I really enjoyed that I knew “the movie” knew I was watching it but took that responsibility seriously. I don’t know if there is a better example of “tongue-in-cheek but not irreverent”

Wowie what a good movie day","good styling, good dialogue, so much fun, good acting, topstats, 90s, cunt classic, camp",2025-01-28
