Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-10-10,Black Bag,2025,https://boxd.it/bjTfwl,3.5,,"love sucks movie fest 2025, 2020s, spy movie, russian bad guys, w/ briana, beautiful, good styling, good score, hey that's the name of the movie, good cinematography, suspicious wig work",2025-10-09
2025-10-11,Chicago,2002,https://boxd.it/bkv7pn,4.5,,"love sucks movie fest 2025, 2000s, best picture winner, best supporting actress winner, best editing winner, best art direction winner, best costume design winner, musical, good cinematography, beautiful, so much fun, incredible performance, hey that's the name of the movie, cunt classic, good for her, bay area mentioned, showgirls!",2025-10-10
2025-10-12,Mission: Impossible – Rogue Nation,2015,https://boxd.it/bl2KYx,3,,"love sucks movie fest 2025, 2010s, spy movie, bay area mentioned, good score, bechdel fail, mission: impossible",2025-10-11
2025-10-14,Blade,1998,https://boxd.it/bmJIEZ,3,,"90s, love sucks movie fest 2025, halloween 2025, vampires, so much fun, good styling, hey that's the name of the movie, w/ dad, w/ mom, smoke a j first, camp, halloween vibes, zombies, nyc",2025-10-13
2025-10-15,Mission: Impossible – Fallout,2018,https://boxd.it/bnlA7p,4,,"love sucks movie fest 2025, 2010s, mission: impossible, so much fun, bechdel fail, spy movie, bass pro shop",2025-10-14
2025-10-18,Speed Racer,2008,https://boxd.it/bp5ju3,5,,"love sucks movie fest 2025, 2000s, good cinematography, beautiful, so much fun, good dialogue, smoke a j first, female writer, female director, hey that's the name of the movie, needs a rewatch, good editing, feeling seen, top2025, visually gorgeous, long review",2025-10-17
2025-10-19,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/bpDWzz,3.5,,"2020s, love sucks movie fest 2025, mission: impossible, spy movie, stressful!",2025-10-18
2025-10-20,Le Cercle Rouge,1970,https://boxd.it/bqmWQP,4,,"love sucks movie fest 2025, 90s, !american, !in english, criterion collection, janus films, heist movie, good cinematography, beautiful, good acting, good styling, bechdel fail, good score, they matched each other's freak, cops",2025-10-19
2025-10-20,Lady Snowblood,1973,https://boxd.it/bqts4b,4,,"70s, love sucks movie fest 2025, !american, !in english, revenge, criterion collection, janus films, nineteenth century, good cinematography, beautiful, so much fun, good for her, halloween 2025",2025-10-19
2025-10-21,The Handmaiden,2016,https://boxd.it/briXtj,5,,"2010s, love sucks movie fest 2025, !american, !in english, good cinematography, beautiful, good acting, needs a rewatch, they matched each other's freak, good editing, joanne the scammer",2025-10-20
2025-10-22,Scary Movie,2000,https://boxd.it/brwe9B,3,Yes,"love sucks movie fest 2025, halloween 2025, 2000s, bay area mentioned, smoke a j first, hey that's the name of the movie, camp, halloween vibes",2025-10-20
2025-10-22,Happy Death Day,2017,https://boxd.it/brX0Px,3,,"2010s, love sucks movie fest 2025, halloween 2025, halloween vibes, gay halloween, feeling seen, time travel, so much fun, smoke a j first, camp, nostalgic <3, one day",2025-10-21
2025-10-23,John Wick,2014,https://boxd.it/bszSqn,3,,"2010s, love sucks movie fest 2025, w/ dad, hitman, russian bad guys, bass pro shop, directorial debut, dead wife montage",2025-10-22
2025-10-25,Snatch,2000,https://boxd.it/btPybj,3.5,,"2000s, love sucks movie fest 2025, w/ dad, !american, heist movie, good acting, so much fun, good styling, good dialogue, bechdel fail, good editing, i love my dad, russian bad guys, dubious accents",2025-10-24
2025-10-26,The Evil Dead,1981,https://boxd.it/buiNid,3,,"80s, love sucks movie fest 2025, halloween 2025, halloween vibes, idk how to rate this, one day, zombies, too gross, directorial debut",2025-10-25
2025-10-26,Night of the Living Dead,1968,https://boxd.it/buq0cV,4,,"60s, love sucks movie fest 2025, halloween 2025, criterion collection, janus films, national film registry, moma collection, b&w, good cinematography, beautiful, good score, w/ dad, one day, one location, zombies, directorial debut",2025-10-25
2025-10-26,In Bruges,2008,https://boxd.it/buFy1x,5,,"2000s, love sucks movie fest 2025, w/ dad, !american, good acting, so much fun, good dialogue, incredible performance, bechdel fail, hey that's the name of the movie, they matched each other's freak, feeling seen, directorial debut, hitman",2025-10-25
2025-10-27,Happy Death Day,2017,https://boxd.it/bviQUX,3,Yes,w/ emily,2025-10-26
2025-10-28,The Terminator,1984,https://boxd.it/bweCRr,3,,"80s, love sucks movie fest 2025, halloween 2025, female writer, good score, w/ dad, idk how to rate this, time travel",2025-10-27
2025-11-01,The Bride Wore Black,1968,https://boxd.it/byHGP1,3.5,,"60s, love sucks movie fest 2025, gorgeous cars, !american, !in english, incredible performance, beautiful, good cinematography, good score, good editing, good for her, revenge",2025-10-31
2025-11-01,Frankenweenie,2012,https://boxd.it/byK28n,3.5,,"2010s, love sucks movie fest 2025, halloween 2025, halloween vibes, stop motion, b&w, beautiful, w/ emily, w/ mom, w/ dad",2025-10-31
2025-11-01,Casino Royale,2006,https://boxd.it/byTmB3,3.5,,"2000s, love sucks movie fest 2025, spy movie, james bond, w/ dad, good score, bechdel fail, hey that's the name of the movie, good editing, long review",2025-10-31
2025-11-04,The Naked Gun,2025,https://boxd.it/bBdzVN,3.5,Yes,"w/ mom, w/ dad, love sucks movie fest 2025, notable fourth wall break, i love my mom, cops",2025-11-03
2025-11-05,Blood and Black Lace,1964,https://boxd.it/bBPjJ3,3.5,,"60s, love sucks movie fest 2025, !american, murder mystery, gorgeous cars, good cinematography, beautiful, good styling, smoke a j first, color grading perfection, visually gorgeous",2025-11-04
